Mon Mar 23 2026 09:06:08 GMT-0400 (Eastern Daylight Time) - Run Time: 3358ms

Cross Tabulation Query Form - Trip - 2022

Row: 2022 TTS zone of origin - tts22_orig
Column: 2022 TTS zone of destination - tts22_dest


Filters:
Regional municipality of household - region_hhld In 6, 
and
Primary travel mode of trip - mode_prime In D, P, T, U, 
and
Start time of trip - start_time In 530 - 2300

Trip 2022
ROW : tts22_orig
COLUMN : tts22_dest
  tts22_orig  tts22_dest      total
        1329        6124         13
        1329        6192          5
        1329        6256         47
        1330        6012         13
        1330        6192          7
        1330        6205         11
        1330        6220         62
        1330        6237         15
        1331        6115         33
        1331        6120         83
        1334        6121         29
        1334        6224          9
        1339        6212          9
        1340        1321         19
        1340        1344         19
        1340        6018         23
        1341        6243         35
        1344        1340         19
        1344        6050         22
        1350        6222        117
        1352        6226         26
        1354        6179         17
        1357        6179         17
        1363        6229         31
        1365        6215         11
        1369       98004          4
        1370        6129          5
        1371        6146          6
        1376        5307         78
        1377        6107         22
        1377        6179         19
        1377        6189         17
        1377        6192          6
        1378        1350         58
        1378        6056         20
        1378        6107         44
        1378        6111         70
        1379        4500          6
        1379        6012         26
        1379        6047          8
        1379        6104        129
        1380        6162         32
        1381        6050         25
        1383        6189         14
        1384        6111         53
        1385        6207         19
        1386        6191        305
        1392        1310         32
        1392        6050          8
        1392        6218         46
        1397        6122         27
        1399        6119         31
        1399        6184         10
        1399       98008          4
        1407        5300         43
        1407        6050          5
        1407        6141          8
        1408        6013         13
        1408        6143         36
        1408        6208         10
        1408        6251          9
        1409        6118         12
        1410        6175         94
        1412        1087         41
        1412        1412         21
        1412        1472         12
        1412        6018         12
        1412        6050         36
        1412        6207         21
        1412        6208         15
        1412        6254         67
        1414        1352         26
        1414        6014         17
        1414        6050         34
        1414        6134         47
        1421        6191         17
        1422        6196         10
        1423        6160         27
        1424        6195         13
        1429        6162         64
        1429        6172         11
        1430        6233          6
        1438        6208         24
        1439        6084         26
        1444        6103         16
        1445        6036         18
        1445        6114         15
        1445        6256         25
        1446        5125         15
        1465        6151         11
        1466        4314         11
        1468        6007          6
        1468        6165         16
        1472        6216         12
        1476        6146         46
        1480        6045         18
        1480        6166         23
        1482        6121         16
        1486        1492         14
        1486        6134         14
        1488        6241         16
        1489        1279         26
        1489        1492         70
        1492        1063         24
        1492        1486         14
        1492        1489         70
        1492        6174          8
        1499        6199         17
        1503        6186         20
        1507        5075         31
        1507        6228         14
        1512        1055         52
        1512        6247         14
        1519        1519         27
        1519        1540         27
        1519        6183        111
        1520        1245         40
        1523        1466         11
        1523        6160         16
        1529        6004         20
        1534        1258         29
        1540        1191         27
        1540        6127         27
        1555        6143         14
        1559        6153         48
        1569        3118         15
        1574        5134         17
        1577        6228         14
        1613        1519         27
        1619        4651         70
        1622        1376         78
        1629        6216          4
        1650        6190         13
        2035        6008         30
        2035        6029         30
        2042        6011         35
        2053        6246          5
        2056        6012         33
        2060        6191          7
        2094        2060          7
        2111        6195          5
        2115        1307         22
        2148        6227         17
        2179        6066         75
        2252        6190         11
        2267        6199         22
        2319        4506         16
        3001        6171         30
        3003        6038         14
        3003        6202         66
        3005        6008         12
        3006        6253         13
        3021        6229         39
        3027        6228         19
        3031        3091          5
        3031        6192         29
        3043        6056         10
        3062        6197         16
        3064        4387         72
        3066        6008         16
        3071        6134         26
        3076        3165          4
        3091        6165          5
        3093        6148         12
        3094        6025         14
        3095        6187         36
        3099        6197         20
        3107        6188         23
        3111        6008         27
        3112        6178         21
        3118        6250         15
        3119        6239         12
        3121        1200         21
        3127        6163         58
        3139        6211         32
        3149        6209         22
        3150        6119        104
        3150        6190          9
        3154        1523         11
        3154        6159         30
        3159        6154         78
        3165        3076          4
        3165        4370          4
        3180        1191          5
        3186        6138         53
        3212        6264         21
        3216        3212         21
        3227        3180          5
        3228        6224         50
        3254        6014          9
        3268        6029         12
        3272        6153         70
        3277        6134         35
        3285        6234        135
        3289        3154         11
        3289        6156         32
        3298        4430         10
        3298        6163         11
        3298        6189         10
        3303        1060         35
        3307        6016         78
        3315        6228         21
        3327        6063         22
        3331        6014         16
        3400        6163         12
        3448        6159          8
        3449        3400         12
        3457        6008          9
        3472        6157         32
        3526        6160         42
        3527        6200         22
        4011        6018         20
        4043        6014         16
        4056        6133         47
        4060        6146         11
        4062        4060         11
        4063        4064         18
        4064        4063         18
        4064        6014         18
        4064        6128         15
        4084        6236          7
        4086        4604         69
        4087        6144         32
        4103        6121         42
        4103        6230          6
        4104        6001         26
        4133        6004         13
        4134        6127         22
        4134        6138         22
        4136        4134         22
        4136        6012         37
        4136        6207          5
        4136        6263         23
        4139        6234         18
        4143        6241         18
        4146        4559         16
        4146        6045         17
        4147        6128         37
        4151        6070         39
        4154        6104         11
        4154        6111         75
        4157       98007          6
        4165        6159         12
        4178        6015         30
        4178        6104         43
        4178        6197         85
        4183        6175         23
        4193        6008         14
        4193        6014         39
        4193        6045         27
        4193        6048          7
        4193        6145         22
        4193        6160         21
        4193        6192         14
        4193        6207         12
        4204        6200         11
        4204        6239         12
        4216        6092         57
        4247        5154          9
        4247        6119         54
        4253        6087         11
        4254        6175         32
        4255        6256         37
        4256        6104         19
        4257        6044         37
        4259        6195         22
        4265        6195          4
        4269        6149         48
        4270        6247         93
        4274        6107         37
        4279        6008         51
        4279        6209          9
        4280        6170         32
        4282        6012         18
        4284        6079         36
        4293       13101          6
        4295        6222         34
        4299        4295         34
        4299        5072         11
        4299        6138        101
        4299        6174         11
        4314        4489         11
        4319        6180         21
        4354        4602         46
        4355        6201         10
        4356        6088         21
        4356        6127         18
        4356        6254         19
        4357        6011         26
        4357       11010          9
        4360        1331         83
        4360        6212         35
        4364        6100         31
        4365        6062         17
        4365        6144         37
        4366        6014         14
        4366        6200         16
        4370        3165          4
        4375        6066         51
        4378        6192         76
        4381        6208         19
        4382        6041         10
        4383        6256         12
        4387        6263         72
        4395        6248         46
        4396        4688         10
        4396        6061         14
        4396        6087         18
        4396        6104         95
        4396        6167         37
        4398        1037         14
        4400        5134          5
        4401        4401         41
        4401        5125          4
        4401        6009         20
        4401        6014         28
        4401        6030         76
        4401        6044         32
        4401        6045         22
        4401        6118         99
        4401        6125        101
        4401        6157         41
        4401        6163         17
        4401        6167         23
        4401        6175         39
        4401        6195          4
        4402        6123         17
        4402        6232         33
        4404        5029         15
        4406        4410         16
        4406        5151         51
        4408        5216         30
        4408        6006         18
        4408        6048        310
        4408        6052         15
        4408        6107         52
        4408        6114          4
        4408        6115         13
        4408        6119         68
        4408        6126         11
        4408        6167         26
        4408        6196         18
        4410        4406         16
        4410        4410         16
        4410        6202         16
        4414        4642          5
        4416        6087         16
        4418        6240         29
        4419        4607         69
        4419        4707         37
        4419        6015         34
        4421        6012         38
        4421        6030         35
        4421        6044         13
        4421        6209         33
        4425        6028         21
        4425        6032         18
        4426        6160         25
        4430        4626         10
        4430        6133         37
        4435        6113         21
        4438        6155         24
        4438        6222          5
        4440        6164         34
        4440        6173         15
        4441        6135          9
        4445        6160         21
        4445        6195         15
        4445       99998         23
        4446        6180         15
        4449        6176         10
        4451        6188         37
        4451        6237          8
        4452        4360         83
        4456        4364         31
        4456        6037         12
        4456        6114         48
        4456        6153         29
        4456        6213         40
        4456        6218         30
        4456        6241         34
        4457        4660          6
        4458        4440         34
        4458        6127         11
        4458       13058         18
        4461        6160         12
        4462        6248          5
        4465        6199          8
        4467        5125         30
        4467        6192         33
        4468        6225         37
        4471        4500         18
        4471        5134         58
        4473        6181         32
        4475        6155         15
        4478        6250         13
        4479        6088          8
        4484        6110         65
        4488        6208         28
        4489        6041         11
        4490        6030          4
        4490        6146         16
        4490        6195         33
        4492        6182         69
        4492        6185         27
        4496        6014         20
        4496        6050          5
        4498        6172         11
        4499        6191         31
        4500        4457          6
        4500        6129         10
        4500        6133         22
        4500        6230        120
        4501        6145         10
        4501        6149         51
        4503        6066         12
        4503        6205          5
        4504        1409         12
        4504        6008         23
        4505        6001         28
        4505        6107        129
        4506        6110         16
        4506        6129         24
        4506        6151         30
        4506        6229         64
        4507        4254         32
        4507        6001         13
        4507        6154         21
        4511        1055         23
        4511        6008         10
        4511        6012         28
        4511        6013         31
        4511        6014         89
        4511        6032         76
        4511        6038         18
        4511        6044          9
        4511        6045         46
        4511        6048          8
        4511        6050         36
        4511        6052         71
        4511        6053         36
        4511        6054         19
        4511        6061         31
        4511        6100         79
        4511        6106         22
        4511        6122         32
        4511        6124         15
        4511        6133         91
        4511        6138         36
        4511        6150         19
        4511        6156         32
        4511        6179         17
        4511        6195         52
        4511        6198          3
        4511        6201          5
        4511        6207         20
        4511        6224          8
        4511        6230         24
        4511        6250         10
        4511        6258         11
        4512        6158         23
        4512        6171         59
        4515        5280         17
        4515        6044         24
        4515        6162         25
        4515        6200         17
        4519        6146         22
        4520        4732         10
        4522        6048         20
        4524        6145         30
        4528        6191          6
        4530        6008         37
        4530        6176         23
        4530        6224         29
        4533        6048         51
        4534        6002         26
        4534        6003          7
        4534        6012         27
        4534        6014         87
        4534        6031         11
        4534        6061         31
        4534        6087         16
        4534        6106         11
        4534        6148         18
        4534        6160         24
        4534        6179         16
        4534        6186         10
        4534        6241         37
        4534        6247         24
        4534        6250         33
        4535        6154         69
        4536        6015         34
        4536        6162         15
        4538        6134         18
        4538        6205         13
        4540        1378         18
        4540        6006         16
        4540        6247         36
        4544        4570         10
        4544        4732         10
        4544        6189         10
        4545        6135         44
        4549        4253         20
        4549        6050         40
        4556        6025         11
        4556        6133         15
        4558        1270         21
        4558        6146         15
        4558        6196         24
        4558        6199         17
        4558        6217          5
        4559        4146         16
        4559        6146         16
        4560        6110         18
        4560        6112         33
        4564        6122         46
        4570        4544         10
        4571        6125          9
        4576        6011         41
        4576        6119         13
        4576        6191         33
        4577        6037         19
        4577        6110         32
        4577        6216         31
        4577        6241         17
        4578        6213        112
        4583        1171         14
        4583        4687         11
        4583        6035          6
        4583        6143         91
        4583        6151         36
        4583        6164        127
        4583        6170         64
        4583        6195         13
        4583        6212         16
        4586        6191         20
        4587        6150         34
        4589        5472        103
        4589        6139         22
        4592       11041         36
        4594        6189         40
        4597        4673         40
        4598        6088         20
        4602        4395         46
        4602        4614          5
        4604        6224         69
        4607        6026         69
        4608        6250         21
        4614        4462          5
        4616        4619         15
        4616        6239         15
        4619        4616         15
        4619        6173         25
        4621        6066         12
        4621        6138         22
        4626        6256         10
        4627        6220         12
        4632        6145         65
        4632        6200         32
        4636        6048         22
        4637        6012         14
        4641        6163         12
        4642        5153          5
        4644       12116         62
        4650        6012         44
        4651        6066         15
        4651        6107         18
        4651        6133         70
        4651        6243         19
        4652        6129         11
        4653        6012         71
        4655        6191         11
        4656        6191          5
        4656        6233          8
        4656        6254         26
        4657        4669         11
        4657        6103         32
        4657        6172         41
        4659        6225         25
        4660        5167          6
        4660        6056         11
        4664        6151         44
        4666        6012         20
        4669        4583         11
        4669        6201         11
        4670        6023         25
        4670        6107         52
        4670        6247         11
        4672        4594         40
        4672        6247         25
        4673        4597         40
        4673        4672         40
        4673        6155         16
        4676        6255         18
        4677        6199         14
        4678        6054         27
        4679        6045         40
        4679        6161          8
        4679        6178         50
        4679        6205         13
        4679        6207         20
        4680        6018          8
        4681        6091         45
        4682        6134         16
        4683        6110         48
        4685        6168         31
        4687        4669         11
        4688        6176         10
        4694        5108         54
        4694        6011         36
        4694        6217          5
        4694        6221         18
        4694       98008         31
        4696        4740         15
        4696        6012         34
        4696        6052         19
        4696        6138         28
        4696        6185         10
        4696        6191         14
        4696        6200         14
        4696        6228         15
        4697        6014         75
        4699        6107         48
        4700        6166         52
        4703        6170         19
        4703        6178        166
        4706        6135          9
        4706        6165         30
        4708        6008         15
        4714        4488         14
        4714        6032         31
        4716        6088         83
        4717        6008         37
        4718        4616         15
        4718        6029         14
        4719        6208          4
        4729        6181         41
        4731        6011         13
        4731        6172         11
        4731        6230          8
        4732        4544         10
        4732        6265         10
        4734        1167         16
        4734        6242         94
        4735        6012         15
        4735        6161         32
        4739        6003         18
        4739        6038         36
        4740        4696         15
        4740        5018         91
        4740        6028         42
        4740        6177         30
        4742        6107          5
        4745        6036         18
        4748        4697         75
        4748        6048         12
        4748        6050         35
        4748        6143         13
        4748        6157        111
        4748        6168         32
        5001        6028         41
        5001        6045          9
        5001        6184         15
        5001        6187         12
        5001        6191         86
        5001        6228         18
        5002        5029         75
        5002        6014         13
        5002        6088          7
        5002        6124         30
        5002        6143         30
        5002        6196          8
        5002        6250         29
        5002       98007          6
        5003        5142          8
        5003        5144         26
        5003        6005         62
        5003        6008         61
        5003        6026        184
        5003        6033          8
        5003        6046         18
        5003        6107         10
        5003        6152        114
        5003        6167         39
        5003        6175         23
        5003        6186         52
        5003        6205         12
        5003        6241         26
        5004        5016         24
        5004        6008         38
        5004        6014         10
        5004        6142          9
        5004        6154         28
        5004        6202         54
        5004        6217         88
        5004        6229          6
        5004        6245          5
        5004       23037          8
        5005        5041         27
        5005        5134         27
        5005        6008         11
        5005        6012         36
        5005        6014         44
        5005        6026         13
        5005        6031         45
        5005        6038         19
        5005        6054         22
        5005        6060         21
        5005        6066         80
        5005        6069         58
        5005        6070        197
        5005        6124         17
        5005        6137         39
        5005        6187         91
        5005        6192         10
        5005        6193         77
        5005        6196         10
        5005        6214         34
        5005        6218         56
        5005        6224         14
        5005        6258         23
        5006        5008         16
        5006        5010         24
        5006        5123         13
        5006        5126         14
        5006        6012         16
        5006        6016          9
        5006        6052         28
        5006        6110         60
        5006        6156         13
        5006        6192          7
        5006        6232         16
        5006        6244          9
        5006        6247         35
        5006        6263         11
        5007        6041        102
        5007        6176         17
        5007        6187         13
        5007        6192          3
        5007        6241          9
        5007        6258         23
        5008        5050          9
        5008        5125          5
        5008        6036         16
        5008        6231        141
        5008        6241         16
        5009        5016         18
        5009        5108         10
        5009        5125         32
        5009        6012         18
        5009        6092         44
        5009        6240          5
        5009        6241          8
        5010        5014         24
        5010        6011         25
        5010        6018          5
        5010        6021         20
        5010        6025         22
        5010        6034         11
        5010        6110         11
        5010        6138         17
        5010        6150         25
        5010        6185         17
        5010        6208          7
        5010        6214          5
        5010        6216         14
        5010        6234         32
        5010        6236         13
        5010        6237        101
        5010        6245         34
        5010        6246         11
        5011        5013         13
        5011        5108         12
        5011        6008         11
        5011        6011         38
        5011        6018         16
        5011        6025         25
        5011        6026        167
        5011        6044          7
        5011        6154         53
        5011        6189          3
        5011        6228         21
        5011        6230         26
        5011        6241         15
        5011        6254         34
        5012        6215         37
        5013        5109         51
        5013        5150         26
        5013        6005         13
        5013        6013         18
        5013        6031         33
        5013        6032        153
        5013        6208         23
        5013        6220         24
        5013        6250         28
        5014        1213         29
        5014        4592         36
        5014        6049         29
        5014        6133         24
        5014        6150         13
        5014        6224          5
        5015        6008         19
        5015        6014         40
        5015        6029         24
        5015        6113         49
        5015        6151          8
        5015        6189         14
        5015        6191        151
        5015        6241         30
        5016        5006         35
        5016        5010          5
        5016        5011          9
        5016        5289         22
        5016        6034         43
        5016        6037         11
        5016        6041         24
        5016        6048          6
        5016        6054         23
        5016        6055         18
        5016        6123         18
        5016        6150         38
        5016        6151         96
        5016        6162         18
        5016        6186         41
        5016        6190         22
        5016        6192          6
        5016        6217         16
        5016        6234         19
        5016        6238         17
        5016        6241          9
        5016        6244          5
        5016        6250          5
        5017        5029         14
        5017        6025         36
        5017        6031         41
        5017        6145         30
        5017        6228         19
        5018        5125         91
        5018        5305         91
        5018        6026         69
        5020        5021         15
        5021        5020         15
        5021        6008         39
        5021        6150         15
        5021        6186          4
        5021        6215          7
        5022        5114         22
        5022        6017         17
        5023        5030         48
        5023        6005        196
        5023        6014        145
        5023        6048         72
        5023        6155         17
        5023        6245         19
        5024        5030         29
        5024        5115         12
        5024        6011         47
        5024        6014         32
        5024        6017         17
        5024        6025         15
        5024        6060         11
        5024        6091         29
        5024        6104         10
        5024        6126         38
        5024        6146         31
        5024        6149         32
        5024        6192         30
        5024        6199         21
        5024        6200         22
        5024        6202         21
        5024        6208         11
        5024        6228         48
        5024        6237          6
        5024        6245         71
        5024        6256         44
        5025        4511         36
        5025        5059        164
        5025        5108         22
        5025        5137         36
        5025        5139          8
        5025        5143         19
        5025        6032         13
        5025        6089         48
        5025        6091         66
        5025        6107         10
        5025        6110         46
        5025        6111         21
        5025        6119         31
        5025        6124         12
        5025        6141         58
        5025        6143         58
        5025        6155          8
        5025        6192         39
        5025        6193         27
        5025        6212         61
        5025        6214        134
        5025        6216         53
        5025        6222         19
        5025        6250         29
        5025        6253         12
        5025        6263         28
        5026        3254          9
        5026        5026         34
        5026        5123         22
        5026        6008         12
        5026        6026        501
        5026        6030         10
        5026        6104         19
        5026        6115         16
        5026        6191         27
        5026        6201         52
        5026        6217          7
        5026        6225         48
        5026        6256         19
        5027        6004         12
        5027        6014         78
        5027        6025         12
        5027        6115         11
        5027        6150         10
        5027        6179         35
        5027        6245         34
        5028        6008         23
        5028        6014         12
        5028        6020         48
        5028        6029         18
        5028        6046         16
        5028        6123          9
        5028        6133          8
        5028        6151         27
        5028        6155         38
        5028        6170         12
        5028        6237         46
        5028        6254         67
        5029        5002          8
        5029        5021         31
        5029        5030         36
        5029        5049         10
        5029        5057         22
        5029        5081         10
        5029        5103         34
        5029        5114         22
        5029        5115         19
        5029        5126         24
        5029        6005         44
        5029        6010         16
        5029        6011         15
        5029        6012         38
        5029        6018          9
        5029        6025         31
        5029        6054         14
        5029        6118         68
        5029        6146         35
        5029        6150         21
        5029        6157         23
        5029        6172         15
        5029        6177         27
        5029        6178         15
        5029        6196          6
        5029        6200          9
